M1	M1*2	[2,9,13,2,1,1,0],
	M1*3	[2,9,33,2,1,1,0],
	M1*4	[2,9,33,34,8,1,0],
	M1*5	[2,9,33,34,43,1,0],
	M1*6	[2,9,33,34,43,56,0],
	M1+WW	[3,14,21,13,8,5,0],
	M1*2+WW	[3,22,14,13,8,5,0],
	M1*3+WW	[3,22,14,42,8,5,0],
	M1*4+WW	[3,22,14,42,6,5,0],
	M1*5+WW	[3,22,14,42,6,9,0]
M2	M2*2	[25,21,5,8,8,4,1],
	M2*3	[25,21,32,8,8,4,1],
	M2*4	[25,21,32,22,8,4,1],
	M2*5	[25,21,32,22,6,4,1],
	M2*6	[5,21,31,22,6,9,1],
	M2+WW	[10,14,12,13,13,12,1],
	M2*2+WW	[10,26,12,13,13,12,1],
	M2*3+WW	[10,26,12,39,13,12,1],
	M2*4+WW	[10,26,12,39,19,12,1],
	M2*5+WW	[10,26,12,39,19,15,1]
M3	M3*2	[3,48,17,23,23,23,2],
	M3*3	[3,6,41,23,23,23,2],
	M3*4	[3,6,41,16,23,23,2],
	M3*5	[3,6,41,16,7,23,2],
	M3*6	[3,6,41,16,7,9,2],
	M3+WW	[36,23,89,23,23,23,2],
	M3*2+WW	[36,7,89,23,23,23,2],
	M3*3+WW	[36,7,89,16,23,23,2],
	M3*4+WW	[36,7,89,16,7,23,2],
	M3*5+WW	[36,7,89,16,7,9,2],
M4	M4*2	[10,6,19,17,17,17,3],
	M4*3	[10,6,18,17,17,17,3],
	M4*4	[10,6,18,22,17,17,3],
	M4*5	[10,6,18,22,22,17,3],
	M4*6	[10,6,18,22,22,20,3],
	M4+WW	[26,26,25,17,18,17,3],
	M4*2+WW	[39,77,2,17,18,17,3],
	M4*3+WW	[39,77,2,42,18,17,3],
	M4*4+WW	[39,77,2,42,22,17,3],
	M4*5+WW	[39,77,2,42,22,20,3],
A	A*2	[15,16,8,10,7,7,2],
	A*3	[15,16,13,10,7,7,2],
	A*4	[15,16,13,8,7,7,2],
	A*5	[15,16,13,8,3,7,2],
	A*6	[15,16,13,8,3,40,2],
	A+WW	[47,54,76,11,7,6,2],
	A*2+WW	[47,6,76,11,7,6,2],
	A*3+WW	[47,6,76,26,7,6,2],
	A*4+WW	[47,6,76,26,37,6,2],
	A*5+WW	[47,6,76,26,37,40,2],
K	K*2	[31,7,17,17,13,17,3],
	K*3	[31,7,11,17,13,17,3],
	K*4	[31,7,11,13,13,17,3],
	K*5	[31,7,11,13,20,17,3],
	K*6	[31,7,11,13,20,40,3],
	K+WW	[3,50,87,17,17,17,3],
	K*2+WW	[42,21,87,17,16,5,3],
	K*3+WW	[42,21,87,13,16,5,3],
	K*4+WW	[42,21,87,13,1,5,3],
	K*5+WW	[42,21,87,13,1,2,3],
Q	Q*2	[21,26,6,13,6,13,0],
	Q*3	[21,26,16,13,6,13,0],
	Q*4	[21,26,16,12,6,13,0],
	Q*5	[21,26,16,12,3,13,0],
	Q*6	[21,26,16,12,3,40,0],
	Q+WW	[4,10,68,13,6,13,0],
	Q*2+WW	[4,16,68,13,6,13,0],
	Q*3+WW	[4,16,68,12,6,13,0],
	Q*4+WW	[4,16,68,12,3,13,0],
	Q*5+WW	[4,16,68,12,3,40,0],
J	J*2	[6,5,18,13,4,3,1],
	J*3	[6,5,44,13,4,3,1],
	J*4	[6,5,44,12,4,3,1],
	J*5	[6,5,44,12,3,3,1],
	J*6	[6,5,44,12,3,2,1],
	J+WW	[7,36,19,13,4,3,1],
	J*2+WW	[7,19,19,13,4,3,1],
	J*3+WW	[7,19,19,12,4,3,1],
	J*4+WW	[7,19,19,12,3,3,1],
	J*5+WW	[7,19,19,12,3,2,1],
